,precision,recall,f1-score,support
0,0.803921568627451,0.82,0.8118811881188119,100.0
1,0.6538461538461539,0.6296296296296297,0.6415094339622641,54.0
accuracy,0.7532467532467533,0.7532467532467533,0.7532467532467533,0.7532467532467533
macro avg,0.7288838612368025,0.7248148148148148,0.7266953110405381,154.0
weighted avg,0.7512977218859571,0.7532467532467533,0.7521404431548276,154.0
